step	inflow	LPA	LPA1	LPA1_1	LPA1_1_1	LPA1_1_2	LPA1_1_2_1	LPA1_1_2_2	LPA1_1_3	LPA1_2	LPA1_3	LPA1_3_1	LPA1_3_2	LPA1_4	LPA1_4_1	LPA2	LPA2_3	LPA3	LPA3_1	LPA3_1_1	LPA3_2	LPA3_2_1	LPA3_3	LPA3_4	LPA4	LPA5	LPA5_1	LPA6	LPA6_1	LPA7	LPA7_1	LPA8	LPA9	LPA9_1	LPA9_2	LPA10	LPA10_1	LPA10_1_1	LPA10_1_2	LPA10_2	LPA10_3	LPA_1	LPA_1_1	LPA_1_1_1	LPA_1_2	LPA_1_2_1	LPA_1_3	LPA_1_4	LPA_1_5	LPA_1_6	LPA_1_7	RPA	RPA1	RPA1_1	RPA1_1_1	RPA1_1_2_2	RPA1_1_3	RPA1_1_4	RPA1_2	RPA1_2_1	RPA1_2_2	RPA1_3	RPA1_4	RPA1_4_1	RPA1_4_1_1	RPA1_4_1_1_1	RPA1_4_1_2	RPA1_4_1_2_1	RPA1_4_2	RPA1_4_2_1	RPA1_4_3	RPA3	RPA3_1	RPA3_2	RPA3_3	RPA3_4	RPA3_5	RPA4	RPA4_1	RPA4_2	RPA4_2_1	RPA4_3	RPA5	RPA5_1	RPA5_1_1	RPA6	RPA6_1	RPA6_1_1	RPA6_1_2	RPA6_2	RPA7	RPA7_1	RPA8	RPA9	RPA10	RPA10_1	RPA11	RPA12	RPA12_1	RPA12_2	RPA12_3	RPA13	RPA14	RPA15	RPA_1	RPA_1_1	RPA_1_1_1	
01000	-11.524585	0.613945	0.067994	0.044098	-0.004341	0.020844	0.026430	0.029395	0.019134	0.063046	0.238018	0.314623	0.171803	0.065450	0.058407	0.018404	0.118768	0.074171	0.115546	0.068365	0.160384	0.060072	-0.025458	0.074694	-0.016310	-0.031336	0.077791	0.096727	0.057039	-0.018733	0.025516	0.005536	0.084396	0.105417	0.058562	0.098732	0.094605	0.017705	0.021219	0.082852	0.041158	0.031291	-0.019897	0.028849	0.046066	0.154262	0.183472	0.043011	0.097400	0.080061	0.082545	0.360089	0.049675	0.171433	0.036930	0.076030	0.050569	0.044130	0.051252	0.046777	0.030306	0.028351	0.019965	0.025291	0.005752	0.038005	0.001057	-0.036075	-0.008533	-0.009410	0.000926	0.158840	0.007766	0.014546	0.182491	0.062985	0.081433	0.008432	0.016474	-0.026634	-0.036514	-0.055319	0.070692	0.015543	0.007153	0.068832	0.019347	0.030433	0.037852	0.007825	0.011540	0.076700	0.118215	-0.001041	0.214803	0.055688	0.002858	0.508648	0.065674	0.133611	0.141329	0.077406	0.217307	0.064030	0.021276	0.012119	0.003200	
01100	-18.338757	0.475659	0.245761	0.036293	0.094916	0.107306	0.095799	0.093439	0.158711	0.328383	0.810938	0.793793	0.518093	0.214077	0.205054	0.287905	0.272879	0.164700	0.321258	0.098600	0.385526	0.048757	0.112366	0.104536	0.087807	0.042326	0.049045	0.375574	0.202069	0.078231	0.123032	0.073644	0.260783	0.297390	0.228701	0.131968	0.320745	0.129771	0.115769	0.027164	0.151745	0.072374	0.059669	0.075908	0.051161	0.139411	0.204749	0.057490	0.104217	0.070313	0.120411	0.198160	0.112729	0.142192	0.122958	0.050961	0.104667	0.132880	0.130030	0.101768	0.173754	0.117846	0.450743	0.254804	0.106276	0.232212	0.087796	0.484250	0.128769	0.302190	0.270336	0.136045	0.070734	0.043523	0.132297	0.050391	0.042060	0.226496	0.029851	0.154236	0.082101	0.080328	0.520061	0.240137	0.075685	0.233026	0.144952	0.097803	0.100386	0.050063	0.408534	0.208183	0.249657	0.159099	0.227625	0.109515	0.274080	0.276855	0.026532	0.183201	-0.031602	0.091288	0.233266	0.046037	0.084806	0.043201	0.010024	
01200	-20.961868	0.778346	0.309263	0.093516	0.117690	0.121579	0.112838	0.134335	0.195506	0.454902	0.849367	0.747406	0.537349	0.235938	0.218233	0.356196	0.291170	0.262534	0.413268	0.118097	0.384145	0.088004	0.305775	0.197586	0.134904	0.246326	0.167396	0.412567	0.239353	0.118923	0.167476	0.279385	0.281697	0.298229	0.260547	0.113421	0.375866	0.174370	0.155851	0.053355	0.182058	0.224655	0.137553	0.118027	0.105378	0.142215	0.166754	0.098204	0.147026	0.083507	0.131497	0.175715	0.139563	0.162934	0.151395	0.060203	0.112561	0.157258	0.186995	0.109258	0.215121	0.135687	0.548301	0.336912	0.131850	0.249317	0.170287	0.657498	0.148775	0.385978	0.304514	0.228322	0.096371	0.064410	0.189286	0.097814	0.099791	0.321009	0.099946	0.213106	0.203967	0.146348	0.661347	0.352435	0.128724	0.462263	0.194514	0.179920	0.157916	0.093442	0.534108	0.264517	0.285129	0.241849	0.254144	0.149025	0.295898	0.155332	0.018615	0.164507	-0.023503	0.065851	0.219135	-0.009408	0.118966	0.055384	0.023632	
01300	-17.244399	0.818850	0.187317	0.064429	0.129787	0.163355	0.085749	0.104294	0.109782	0.305978	0.382165	0.341228	0.247812	0.119075	0.109022	0.156880	0.149142	0.270264	0.310193	0.084678	0.312989	0.081880	0.337966	0.223471	0.058030	0.097989	0.053801	0.214981	0.127106	0.061995	0.098353	0.122254	0.122398	0.148611	0.138897	0.237579	0.275554	0.090117	0.108946	0.082886	0.139938	0.250779	0.090201	0.060370	0.100867	0.106990	0.089037	0.058449	0.106524	0.055174	0.108789	0.450457	0.125158	0.198565	0.099173	0.090599	0.108487	0.128929	0.105437	0.106050	0.158782	0.132985	0.297786	0.197410	0.083867	0.148826	0.106384	0.447073	0.107381	0.276559	0.199239	0.204862	0.052490	0.038079	0.145209	0.060091	0.096193	0.196937	0.062474	0.133320	0.096699	0.096508	0.358736	0.186785	0.079754	0.392499	0.102206	0.091218	0.078162	0.056145	0.305177	0.167704	0.145488	0.135987	0.170682	0.077205	0.244800	0.398610	-0.058478	0.117830	0.009851	0.005643	0.237621	0.084095	0.076484	0.037021	0.021380	
01400	-12.152904	0.806036	0.089845	0.046556	0.036336	0.114995	0.065720	0.075206	0.035648	0.181091	0.119450	0.098772	0.069642	0.048756	0.030218	0.045359	0.088316	0.183069	0.212013	0.043543	0.196783	0.038982	0.209068	0.156503	0.044874	0.259536	0.128869	0.085673	0.052097	0.057997	0.078103	0.167989	0.060919	0.074661	0.064832	0.114166	0.174740	0.059000	0.069079	0.099658	0.079575	0.071138	0.082905	0.087535	0.146098	0.135750	0.075511	0.052264	0.095286	0.062566	0.074409	0.291960	0.080411	0.218672	0.085223	0.104070	0.073098	0.083055	0.064317	0.067965	0.073725	0.086971	0.114797	0.077575	0.025205	0.063597	0.058381	0.214303	0.049677	0.132671	0.089600	0.174183	0.025476	0.030791	0.115935	0.036246	0.073535	0.124313	0.064883	0.125811	0.082988	0.012162	0.182461	0.090760	0.034273	0.309404	0.072510	0.080313	0.052824	0.034136	0.180631	0.112338	0.132119	0.066571	0.145711	0.056994	0.128496	0.079148	-0.002269	0.047251	0.001109	0.052125	0.306549	0.077395	0.034769	0.016475	0.010168	
01500	-8.427298	0.783436	0.054600	0.022184	0.057951	0.095067	0.052531	0.043165	0.041495	0.083692	0.096632	0.080041	0.051365	0.033425	0.027570	0.073850	0.065596	0.089790	0.143843	0.017875	0.034473	0.010560	0.073289	0.040979	0.077753	0.255277	0.156311	0.053787	0.043100	0.067739	0.089848	0.167001	0.043271	0.064053	0.033817	0.084865	0.097508	0.037995	0.060196	0.076643	0.037568	0.188954	0.094030	0.098606	0.113197	0.125493	0.116440	0.047855	0.075230	0.090907	0.087326	0.233393	0.055220	0.108929	0.120298	0.056896	0.057299	0.061534	0.040315	0.049487	0.052469	0.068488	0.042594	0.032286	0.007516	0.033493	0.031365	0.091684	0.017620	0.051384	0.021488	0.134743	0.022090	0.023037	0.109153	0.040097	0.065619	0.081978	0.030349	0.107456	0.065626	0.039041	0.166286	0.075247	0.022615	0.218560	0.028233	0.053408	0.021675	0.027127	0.177534	0.115210	0.080648	0.036878	0.098513	0.048957	0.116719	0.129484	0.019812	0.049546	-0.016150	0.111083	0.190316	0.003658	0.026343	0.013680	0.004667	
01600	-7.738812	0.621469	0.095363	0.014365	0.058582	0.066163	0.042502	0.053631	0.095241	0.106127	0.254522	0.241853	0.167813	0.071927	0.080409	0.146897	0.093499	0.125769	0.130718	0.027222	0.138126	0.026351	0.134476	0.051874	0.061711	0.164636	0.121136	0.114925	0.072493	0.043914	0.065762	0.164025	0.084013	0.099928	0.075034	0.024194	0.110829	0.026446	0.052197	0.032447	0.046601	0.262706	0.068943	0.057355	0.103232	0.085628	0.070493	0.055243	0.074980	0.065498	0.068798	0.234072	0.043234	0.123258	0.017354	0.067600	0.048416	0.063074	0.069355	0.040776	0.066241	0.047838	0.115780	0.083678	0.043539	0.077702	0.050735	0.138709	0.053190	0.089324	0.075474	0.127267	0.039854	0.027365	0.113598	0.055009	0.061871	0.101892	0.040578	0.087561	0.052878	0.020787	0.214508	0.093979	0.025829	0.172790	0.018714	0.049191	0.010901	0.023730	0.163367	0.117228	0.093897	-0.002040	0.120581	0.025214	0.079883	0.089006	0.086486	0.078800	0.102922	0.137127	0.139695	0.004780	0.035413	0.019028	0.005382	
01700	-8.505500	0.436705	0.076310	0.034715	0.015862	0.012910	0.031150	0.045539	0.049061	0.091971	0.196778	0.160666	0.107023	0.053948	0.053504	0.104357	0.079929	0.128976	0.140514	0.038723	0.178642	0.029460	0.176236	0.075143	0.056935	0.064143	0.050232	0.090319	0.052467	0.063789	0.072592	0.162131	0.072284	0.074026	0.072468	0.148036	0.112281	0.040131	0.050430	0.043623	0.046211	0.118647	0.077348	0.072898	0.108830	0.072724	0.021215	0.062111	0.063167	0.029759	0.019463	0.176936	0.051448	0.084933	0.090596	0.039453	0.054327	0.052697	0.048510	0.039401	0.045486	0.048076	0.073306	0.066565	0.021640	0.037062	0.043650	0.119388	0.015063	0.067646	0.026409	0.087734	0.034146	0.022597	0.087361	0.030243	0.035874	0.087857	0.031022	0.095933	0.049511	0.015201	0.178085	0.068423	0.017046	0.126281	0.023329	0.037788	0.018829	0.016774	0.118664	0.092399	0.089354	0.003401	0.097186	0.028997	0.059320	0.263793	0.069086	0.084872	0.216768	0.152672	0.189493	0.059196	0.020448	0.012760	0.006967	
01800	-19.233169	0.690637	0.280919	0.051405	0.077219	0.072836	0.077009	0.094344	0.223874	0.320425	0.796436	0.746578	0.518734	0.222773	0.238575	0.413286	0.287349	0.225374	0.361263	0.095982	0.340563	0.058661	0.262725	0.133888	0.199083	0.200427	0.171762	0.378885	0.221737	0.140625	0.177160	0.303048	0.271364	0.309153	0.231630	0.084287	0.304527	0.104379	0.140809	0.085009	0.118397	0.171912	0.124127	0.131820	0.134141	0.140773	0.080652	0.113361	0.116093	0.035935	0.077300	0.247318	0.105336	0.127398	0.095819	0.044830	0.093899	0.136428	0.164467	0.083534	0.189854	0.103318	0.497302	0.264644	0.117143	0.238766	0.121323	0.466613	0.134682	0.301326	0.291146	0.160219	0.080974	0.045814	0.143291	0.075330	0.067982	0.267928	0.075208	0.205326	0.159290	0.107601	0.547259	0.263621	0.071397	0.268925	0.093035	0.090442	0.066989	0.053603	0.305056	0.189699	0.185155	0.074808	0.195619	0.065160	0.187675	0.262936	0.047643	0.179285	0.135757	0.146928	0.216053	0.033006	0.086674	0.048176	0.017342	
01900	-29.424306	0.917537	0.342498	0.108269	0.114842	0.140839	0.126299	0.160883	0.230754	0.458029	0.940693	0.851798	0.581869	0.257374	0.243055	0.387386	0.330879	0.337922	0.470931	0.124734	0.486978	0.111893	0.441215	0.235399	0.151206	0.274973	0.187742	0.454115	0.241923	0.121080	0.184250	0.383023	0.307755	0.323535	0.280655	0.207333	0.428393	0.152924	0.170012	0.097121	0.196689	0.334093	0.159971	0.136770	0.160749	0.166979	0.123746	0.142963	0.218175	0.070934	0.110029	0.346847	0.166537	0.191659	0.142689	0.087409	0.139534	0.180380	0.193831	0.139929	0.253436	0.160715	0.595918	0.324447	0.148313	0.297685	0.146574	0.685584	0.183973	0.433945	0.370579	0.245131	0.117149	0.061428	0.231740	0.110244	0.110248	0.373899	0.110688	0.267681	0.217798	0.141615	0.739654	0.352979	0.119202	0.474830	0.172696	0.146523	0.122582	0.086023	0.487366	0.285234	0.269927	0.139818	0.269897	0.109321	0.252298	0.225678	0.035930	0.151775	0.071668	0.145199	0.318344	0.070019	0.119197	0.057112	0.023517	
