step	inflow	LPA	LPA1	LPA1_1	LPA1_1_1	LPA1_1_2	LPA1_1_2_1	LPA1_1_2_2	LPA1_1_3	LPA1_2	LPA1_3	LPA1_3_1	LPA1_3_2	LPA1_4	LPA1_4_1	LPA2	LPA2_3	LPA3	LPA3_1	LPA3_1_1	LPA3_2	LPA3_2_1	LPA3_3	LPA3_4	LPA4	LPA5	LPA5_1	LPA6	LPA6_1	LPA7	LPA7_1	LPA8	LPA9	LPA9_1	LPA9_2	LPA10	LPA10_1	LPA10_1_1	LPA10_1_2	LPA10_2	LPA10_3	LPA_1	LPA_1_1	LPA_1_1_1	LPA_1_2	LPA_1_2_1	LPA_1_3	LPA_1_4	LPA_1_5	LPA_1_6	LPA_1_7	RPA	RPA1	RPA1_1	RPA1_1_1	RPA1_1_2_2	RPA1_1_3	RPA1_1_4	RPA1_2	RPA1_2_1	RPA1_2_2	RPA1_3	RPA1_4	RPA1_4_1	RPA1_4_1_1	RPA1_4_1_1_1	RPA1_4_1_2	RPA1_4_1_2_1	RPA1_4_2	RPA1_4_2_1	RPA1_4_3	RPA3	RPA3_1	RPA3_2	RPA3_3	RPA3_4	RPA3_5	RPA4	RPA4_1	RPA4_2	RPA4_2_1	RPA4_3	RPA5	RPA5_1	RPA5_1_1	RPA6	RPA6_1	RPA6_1_1	RPA6_1_2	RPA6_2	RPA7	RPA7_1	RPA8	RPA9	RPA10	RPA10_1	RPA11	RPA12	RPA12_1	RPA12_2	RPA12_3	RPA13	RPA14	RPA15	RPA_1	RPA_1_1	RPA_1_1_1	
00000	-320.920403	9.719726	3.862013	0.967984	0.984642	1.046638	0.791878	0.967229	1.634603	3.025324	6.643162	5.981014	4.333738	2.519531	2.286782	4.425686	2.259354	3.698107	3.070161	0.716898	4.573619	0.879585	4.551428	1.724853	1.941266	2.652102	1.767054	4.554423	2.080569	1.375100	1.952797	3.014844	3.527441	3.428352	1.859757	2.732304	2.993401	0.954792	1.015717	1.062906	2.194581	2.250900	1.236544	1.189479	1.707298	1.345191	1.015832	1.047017	1.681074	0.734636	0.970844	4.256383	1.426414	1.943199	1.334057	0.717015	1.518868	1.347961	1.505964	0.853327	1.816726	1.142158	5.838610	3.650763	1.384987	2.662322	1.278204	5.970260	1.504272	2.938792	3.073965	3.023553	0.842845	0.489997	1.555597	0.980015	0.941011	3.903233	1.118413	3.210562	2.122019	1.266647	7.679122	3.074251	0.861591	4.380166	1.180021	1.125633	0.820076	0.544023	4.731779	2.741686	2.338314	1.401043	2.835337	0.945974	2.259968	1.874986	0.270570	1.111203	0.847197	1.447095	2.815465	0.474788	1.274192	0.544699	0.183251	
00100	-320.920403	8.288753	3.290587	0.220648	0.692897	1.357323	1.055661	1.546697	2.235729	3.552977	7.757450	7.946803	5.146665	2.828224	2.969597	5.855288	2.867517	1.355906	4.166704	1.572915	4.628863	1.427310	3.621820	0.393186	2.559281	2.033872	1.208895	5.163148	2.495840	1.908652	2.002557	4.475667	3.182226	3.907802	2.407821	-0.168260	4.048692	1.360270	1.998498	1.275137	2.047429	3.062839	0.857580	1.616126	1.468115	1.127257	0.598217	1.859292	0.893263	-0.135696	1.096460	6.577529	0.802339	1.482113	0.426585	0.463312	1.222812	1.587686	1.910640	0.711883	2.312199	0.975964	5.993916	3.528392	1.244794	2.670207	1.239698	6.082503	1.734920	3.446099	3.662858	2.802683	0.832040	0.571156	1.394084	0.875211	1.612645	2.702130	0.664967	-0.000817	1.009893	1.419882	7.372973	3.282353	0.942944	3.667239	1.210882	1.289084	0.640808	0.607381	4.167415	2.589902	1.572013	0.411858	3.954208	1.242375	2.162840	2.676467	0.150260	1.382500	0.339921	0.467293	3.241536	0.297964	0.695770	0.460022	0.274073	
00200	-409.981238	18.591373	6.934937	1.168769	1.114223	1.597015	0.918981	1.245462	2.886964	4.724016	9.824388	9.006044	7.212135	4.284919	3.631453	7.644128	3.877198	6.765320	5.733458	1.121706	8.134954	1.605422	5.326194	2.384809	3.458113	4.933579	2.099644	7.226088	3.463772	2.548167	4.123799	5.385789	6.475352	5.373535	2.882306	5.393970	4.842459	0.676127	1.402809	1.258753	3.592599	4.997266	2.281418	1.817896	2.354473	2.314666	0.726729	1.981402	2.457194	1.049178	1.440611	8.137723	3.346852	4.153877	2.050263	1.110863	2.205237	1.276736	1.890083	0.834495	2.212491	2.772319	10.592193	6.028079	2.252940	4.084638	1.331983	9.409568	1.945763	4.413389	5.429372	6.240114	1.145896	0.760502	2.058225	1.254771	1.734646	6.331162	1.874571	6.041959	2.912164	1.821692	11.333670	4.770546	1.474330	5.948155	2.294302	1.839232	1.650984	1.131745	7.053255	2.580906	2.948879	2.326908	3.991887	1.230042	3.302038	4.297441	0.604505	1.572612	1.402620	2.045561	3.821243	0.771062	1.421681	0.721760	0.333312	
00300	-422.629408	23.051069	4.965290	1.381321	1.790573	1.931369	1.413408	1.428217	2.887797	4.759999	10.693557	10.293244	7.028224	4.270490	3.875641	7.705306	3.732209	5.238749	4.093068	0.789934	8.186717	1.471995	8.012016	2.724632	3.085901	6.109114	3.219627	7.506387	3.378352	2.691538	4.026510	6.976037	6.039658	6.160201	3.122509	5.355976	4.900081	1.142824	1.539225	2.066873	4.240587	4.207049	2.370148	2.491928	2.844691	2.422347	1.297608	2.296303	3.758850	1.158213	1.646719	10.124139	2.547640	5.858768	3.071985	2.154097	2.362600	1.711591	2.654664	1.029573	3.194795	2.147644	9.818115	5.914361	2.281973	4.282360	2.336171	9.664140	2.483121	4.576110	5.243470	6.174500	1.527277	0.976824	1.247854	1.354582	1.441642	6.401720	1.451373	5.780265	3.508568	2.074986	14.474206	4.959964	1.364538	7.273377	2.425170	2.456118	1.790345	1.085130	8.291140	4.416831	3.451956	2.805319	5.308061	2.142329	3.994767	1.795734	0.526690	1.967888	0.257509	2.981253	6.046286	0.749679	2.246370	0.952250	0.321685	
00400	-372.221748	20.462837	5.579100	1.911888	1.301279	1.822524	1.136682	1.626193	2.210765	4.994120	8.942555	8.591857	6.255755	3.881697	3.439085	6.298464	3.801411	5.988045	4.344039	1.204930	7.495702	1.456568	9.104602	3.585063	2.597766	5.999960	2.269932	7.470236	3.191798	2.322581	3.545823	4.832207	5.101667	5.315407	3.098293	5.196749	4.292436	1.745996	1.629498	2.442434	3.468218	4.777581	2.403456	2.043420	3.500833	3.228025	1.535638	1.630814	3.002967	1.303479	1.865348	10.302147	3.390928	2.204627	1.509122	0.979685	2.231841	1.533456	2.514258	1.444786	2.845735	3.024573	9.237755	5.838126	2.310194	4.101290	1.753517	8.886809	2.277134	4.702259	4.988329	6.926798	1.366190	0.825667	2.614202	1.862902	2.474895	6.904466	1.518828	5.182811	2.888071	1.910445	12.872429	4.333171	1.287925	8.245701	2.011727	1.757757	1.447540	0.894158	6.983311	3.585172	3.346101	2.745700	5.738101	1.880130	4.186800	4.565201	0.453477	2.511601	1.855788	3.321659	8.525789	1.131337	1.963189	0.826308	0.299781	
00500	-299.734259	18.641745	4.250835	1.692926	1.736457	1.540899	0.913511	1.160338	1.939910	4.301253	7.421542	7.086662	4.976728	2.890130	2.668128	4.779422	3.547396	5.581284	4.753275	1.033414	6.710159	1.466889	4.388965	2.602521	2.100551	4.561662	2.903712	5.407212	2.837281	1.735536	2.660245	3.329262	4.136493	4.312007	2.713634	4.240987	3.669624	1.096684	1.237137	1.606886	2.858656	4.843114	1.829597	1.628840	2.634054	1.878071	1.484062	1.376443	2.175712	1.659010	1.542201	7.278290	2.314646	3.366615	1.375488	1.267738	1.622440	1.503211	1.777936	1.332008	2.174905	2.056123	6.902440	4.470743	1.685826	3.168713	1.918293	6.817824	1.977576	4.158748	3.788690	3.773743	0.955816	0.635653	2.687494	1.262340	1.714581	5.101014	1.525070	3.841793	2.921281	1.460196	9.706956	3.886802	1.145120	7.309846	1.641909	1.589005	1.124784	0.756071	5.455837	3.354118	2.782166	2.396819	3.933501	1.613231	3.578628	3.994809	0.295022	2.039669	1.012965	2.483012	5.282979	1.240221	1.705680	0.710144	0.263118	
00600	-213.762887	14.293748	2.880675	1.001004	1.164595	1.177833	0.760806	1.056605	1.362218	3.315125	5.510225	4.906564	3.681676	2.114491	1.864486	3.272358	2.705973	3.182796	3.388421	1.031758	4.060952	1.191010	4.287643	1.703186	1.499257	3.145401	2.050627	4.064174	2.081640	1.248162	2.009342	2.197615	2.781799	2.981487	2.127022	2.437111	3.461740	0.919401	1.187112	1.511719	2.283825	3.567451	1.605572	1.432806	1.867029	1.920319	1.453090	0.865003	1.523643	1.434540	1.366490	5.577330	1.433845	2.689242	1.510947	1.073196	1.475270	1.169913	1.405676	0.946357	1.627996	1.062863	4.204855	2.934572	1.197966	2.272249	1.482807	5.422257	1.408576	3.099045	2.605327	3.929451	0.653198	0.518260	1.619023	1.134056	1.417757	3.115886	1.038047	2.940591	1.937328	1.101751	6.750588	2.950692	0.953331	5.714392	1.154113	1.425341	0.956121	0.587279	4.921850	2.927061	2.314740	1.587368	2.587938	0.918492	2.673767	2.908914	0.100219	1.415850	0.568488	1.633225	2.848267	1.020724	1.296629	0.511457	0.197190	
00700	-124.675812	8.939615	1.373234	0.696569	0.970594	0.898090	0.598554	0.803831	0.828068	2.189385	3.197190	2.618661	1.915957	1.067039	0.810125	1.309785	1.682525	2.042453	2.223696	0.823865	2.690369	0.763755	2.805462	1.192430	0.587900	2.112384	1.611680	1.947217	1.147374	0.643403	1.103070	1.642639	1.190746	1.338802	1.325130	1.535961	2.006403	0.709021	0.803004	1.014223	1.227247	2.259675	0.840135	0.675804	1.050167	1.286417	1.426599	0.657027	1.325569	0.773965	1.035006	3.502651	0.916400	1.498589	1.107945	0.664292	0.920618	0.904728	0.841634	0.674688	0.929316	0.929212	1.872241	1.257457	0.602889	1.162745	0.815010	3.286050	0.696825	1.841994	1.229280	2.353083	0.373279	0.324791	1.094357	0.741495	1.228315	1.781907	0.747919	1.608864	0.877890	0.465346	3.011400	1.427451	0.535722	3.182339	0.589188	0.766444	0.561756	0.330124	2.315955	1.380753	1.309425	0.933691	2.340701	0.553330	1.891880	1.673205	0.448515	1.228335	0.414894	0.903471	2.843891	0.521807	0.601360	0.267458	0.133666	
00800	-50.403887	5.014829	0.313564	0.234091	0.584242	0.672100	0.498693	0.583098	0.328262	1.021100	1.082504	0.625042	0.548008	0.236362	0.122831	0.224207	0.463233	0.769953	1.306630	0.493153	0.908974	0.382948	1.086222	0.609127	0.071992	0.935648	0.727063	0.407662	0.310239	0.261925	0.515209	0.806898	-0.002777	0.140424	0.475536	0.802021	0.967655	0.328542	0.466605	0.615531	0.438251	0.769424	0.378577	0.511518	0.759794	1.075232	0.695071	0.420860	0.841737	0.509839	0.476513	2.445304	0.415585	0.851383	0.495424	0.425271	0.407596	0.595314	0.367078	0.422869	0.384174	0.313334	0.208912	0.354500	0.099210	0.219491	0.503004	1.140273	0.186132	0.738548	0.188373	0.983344	0.146763	0.175672	0.792474	0.273007	0.556820	0.578524	0.416971	0.743939	0.393997	0.112584	0.682172	0.430729	0.205489	1.467494	0.352252	0.383215	0.254929	0.187664	0.629865	0.544512	0.450287	0.211860	0.544622	0.247788	0.744381	1.175789	0.163994	0.739683	0.646910	0.362182	1.814820	0.658120	0.237591	0.126203	0.075629	
00900	-18.840538	2.231913	0.042727	-0.010247	0.279659	0.225518	0.143908	0.239175	0.194233	0.139680	-0.209924	-0.346377	-0.076972	-0.101603	-0.073892	0.080628	-0.176790	0.168260	0.521431	0.217803	0.040605	0.060208	0.184993	0.225599	0.050321	0.330513	0.421779	-0.153569	-0.074090	0.110306	0.168128	0.011886	-0.171524	-0.209535	-0.067433	-0.078446	0.319261	0.249378	0.197362	0.228012	0.068270	-0.217624	0.222630	0.311285	0.471564	0.604213	0.587229	0.251232	0.354207	0.322696	0.301321	0.944450	0.183610	0.257363	0.278268	0.103651	0.180417	0.242507	0.164852	0.143527	0.087327	0.145084	-0.508409	-0.240004	-0.075642	-0.219576	0.082245	-0.268301	-0.056899	-0.062903	-0.334201	0.375236	0.058881	0.098690	0.498359	0.091124	0.232803	-0.104723	0.062560	-0.018224	-0.008488	-0.047654	-0.490565	-0.157145	-0.030373	0.408760	0.007496	0.051286	0.005037	0.046431	-0.130616	0.127138	0.210054	0.014827	0.298381	0.080294	0.283712	0.744152	0.160576	0.453143	0.446288	0.270161	0.776544	0.270756	0.070448	0.040319	0.035483	
