0 513.289952468 738.742028252 1125.95060894 1295.06657134 1422.22106303 1438.42062966 1424.80417702 1378.44762439 1332.61605236 1290.74275104 1262.1430081 1245.43126714 1239.53562705 1240.61828001 1245.56419903 1251.58650079 1256.99990115 1260.93875388 1263.24050387 1264.14327251 1264.07119976 1263.4622303 1262.67370026 1261.94421156 1261.39648474 1261.06298107 1260.91820325 1260.90937368 1260.97891471 1261.07837329 1261.17432847 1261.24862196 1261.29554303 1261.31735121 1261.32055953 1261.31257764 1261.29994029 1261.2872179 1261.2770806 1261.27049102 1261.26719054 1261.26647215 1261.26732221 1261.26889045 1261.27053209 1261.27194219 1261.27285047 1261.27334648 
0 507.236931176 732.964234336 1116.44260131 1284.79703642 1410.51358353 1426.61157368 1412.87666881 1366.84478482 1321.29045397 1279.73522272 1251.34953789 1234.78246314 1228.94709849 1230.03798671 1234.95761043 1240.941292 1246.31643022 1250.2254298 1252.50811874 1253.40188757 1253.32834143 1252.72246506 1251.93898365 1251.21462171 1250.67102624 1250.34024936 1250.1968525 1250.18836332 1250.25758969 1250.3564296 1250.4517203 1250.52546155 1250.57200486 1250.59361288 1250.59676117 1250.58881155 1250.57625112 1250.56361589 1250.55355343 1250.54701549 1250.54374477 1250.54303645 1250.54388406 1250.54544357 1250.54707352 1250.548473 1250.54937505 1250.5498669 
0 499.472973772 725.648812127 1105.45278874 1273.11467227 1397.4267013 1413.44288415 1399.59115558 1353.87850706 1308.59133365 1267.34442868 1239.16465205 1222.73689799 1216.95897446 1218.05733108 1222.95117576 1228.89738718 1234.23552403 1238.11573582 1240.38009819 1241.26526413 1241.19036918 1240.58753094 1239.80895276 1239.08955103 1238.54994166 1238.22178827 1238.07971379 1238.07154353 1238.14045911 1238.23869749 1238.33334558 1238.40655348 1238.45273334 1238.47414953 1238.47724115 1238.46932333 1238.45683786 1238.444287 1238.43429777 1238.42780889 1238.42456679 1238.42386798 1238.42471307 1238.42626339 1238.4278833 1238.4292721 1238.43016741 1238.43065513 
0 491.748978563 718.539918065 1094.69833281 1261.72053909 1384.64362818 1400.58967226 1386.61765892 1341.21855192 1296.18975174 1255.24396705 1227.26438275 1210.97265503 1205.2506865 1206.35645739 1211.22523067 1217.13498775 1222.43709087 1226.28926067 1228.53576137 1229.4125358 1229.33631658 1228.73643026 1227.96262407 1227.24805252 1226.71232645 1226.38672995 1226.2459453 1226.23808725 1226.30670122 1226.40435431 1226.49837667 1226.57106513 1226.61689078 1226.63811992 1226.64115614 1226.63326917 1226.62085661 1226.6083879 1226.59846996 1226.59202888 1226.58881472 1226.58812518 1226.58896785 1226.59050925 1226.59211939 1226.5934977 1226.59438652 1226.59487021 
0 484.006628378 711.576795357 1084.11926778 1250.55426578 1372.10431171 1387.991844 1373.89624031 1328.80501068 1284.0258637 1243.37400282 1215.58890242 1199.42989544 1193.76238477 1194.87550339 1199.71990432 1205.59421723 1210.86125185 1214.68612522 1216.91523016 1217.78382607 1217.70630863 1217.10928926 1216.34012461 1215.63025362 1215.09830808 1214.77520179 1214.63567423 1214.62812143 1214.69644281 1214.79352678 1214.88694024 1214.95912315 1215.00460385 1215.02565072 1215.02863282 1215.02077575 1215.00843408 1214.99604532 1214.98619677 1214.97980222 1214.9766153 1214.97593481 1214.97677514 1214.97830787 1214.97990853 1214.98127656 1214.9821591 1214.98263886 
0 476.247547375 704.757337541 1073.7122215 1239.61109539 1359.80342751 1375.64377124 1361.42133457 1316.63248983 1272.09452113 1231.7295997 1204.13343949 1188.10394533 1182.48943941 1183.60984221 1188.43055014 1194.27040023 1199.50330377 1203.30160465 1205.51376617 1206.37439024 1206.29559978 1205.70136475 1204.93671493 1204.2314186 1203.70315384 1203.38247299 1203.24417075 1203.23691649 1203.30495404 1203.40148456 1203.49430549 1203.56599634 1203.61114107 1203.63201032 1203.63493955 1203.62711148 1203.61483873 1203.60252775 1203.59274674 1203.58639748 1203.58323715 1203.58256547 1203.58340355 1203.58492785 1203.58651932 1203.58787725 1203.58875373 1203.58922968 
0 468.471753698 698.077668082 1063.47223678 1228.88476265 1347.73421682 1363.53840718 1349.18596025 1304.69416189 1260.38912259 1220.30434892 1192.89173578 1176.98863513 1171.42572083 1172.55334678 1177.35102299 1183.15736525 1188.35704977 1192.12948245 1194.32514051 1195.17799371 1195.09795466 1194.50642357 1193.74616527 1193.04532112 1192.52064008 1192.20232168 1192.06521387 1192.05825161 1192.12601388 1192.22200621 1192.31425052 1192.38546243 1192.43027993 1192.45097609 1192.45385367 1192.44605368 1192.43384794 1192.42161267 1192.4118974 1192.40559223 1192.40245782 1192.40179475 1192.40263066 1192.40414676 1192.40572931 1192.40707734 1192.40794797 1192.40842019 
0 460.67967886 691.53411011 1053.39462254 1218.36929581 1335.89024144 1351.66903034 1337.18346015 1292.98351541 1248.90337416 1209.09214118 1181.85782704 1166.07808582 1160.56538875 1161.7001793 1166.47546788 1172.249232 1177.41658521 1181.16383502 1183.3434177 1184.18869549 1184.10743152 1183.51852605 1182.76253924 1182.06602805 1181.54483628 1181.22881906 1181.09287562 1181.08619902 1181.15369433 1181.24916334 1181.34084652 1181.41159226 1181.45609102 1181.47661849 1181.4794456 1181.47167284 1181.45953224 1181.44737064 1181.43771936 1181.4314571 1181.428348 1181.4276933 1181.42852713 1181.43003527 1181.43160915 1181.43294747 1181.43381246 1181.43428105 
0 452.871955368 685.122715406 1043.47457113 1208.05855762 1324.26502762 1340.02891456 1325.40723772 1281.49411778 1237.63107775 1198.08696118 1171.02583849 1155.36649893 1149.90267556 1151.04456822 1155.79809197 1161.54018039 1166.67606525 1170.39879926 1172.56272373 1173.40061712 1173.31815201 1172.73179647 1171.97996466 1171.28767058 1170.76987617 1170.45610043 1170.32129201 1170.31489481 1170.38213118 1170.47709127 1170.56822838 1170.63852037 1170.68270867 1170.70307175 1170.70584955 1170.69810318 1170.68602591 1170.67393601 1170.66434702 1170.65812653 1170.65504211 1170.65439559 1170.65522741 1170.6567278 1170.65829328 1170.65962207 1170.66048162 1170.66094667 
0 445.052478979 678.850339034 1033.71532166 1197.95646397 1312.85946114 1328.61808041 1313.85577743 1270.22398092 1226.56984633 1187.28645967 1160.39353693 1144.85185955 1139.43576053 1140.58485231 1145.31733304 1151.02869649 1156.13398422 1159.83285419 1161.98151205 1162.81218605 1162.7285226 1162.14462757 1161.39682739 1160.70863295 1160.19414572 1159.88255499 1159.74885571 1159.7427345 1159.80972189 1159.90418851 1159.99479492 1160.06464541 1160.10853112 1160.12873367 1160.13146294 1160.12374185 1160.11172596 1160.09970573 1160.09017733 1160.08399752 1160.08093723 1160.08029872 1160.08112866 1160.08262155 1160.08417886 1160.08549833 1160.08635262 1160.08681422 
